,position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,unclaimed_listing,type,address,open_state,hours,operating_hours,phone,website,service_options,thumbnail,price,description,user_review,Unnamed: 0.1,Unnamed: 0
10,12,Chateau Beirut - Libanesisk restaurang Göteborg,ChIJ29lg_kjzT0YRD6Ti4PtOlGA,0x464ff348fe60d9db:0x60944efbe0e2a40f,6959274167910966287,https://serpapi.com/search.json?data_id=0x464ff348fe60d9db%3A0x60944efbe0e2a40f&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff348fe60d9db%3A0x60944efbe0e2a40f&engine=google_maps_photos&hl=sv,"{'latitude': 57.6983605, 'longitude': 11.9310602}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff348fe60d9db%3A0x60944efbe0e2a40f%218m2%213d57.6983605%214d11.9310602&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,561.0,,Libanesisk restaurang,"Karl Johansgatan 7, 414 59 Göteborg, Sverige",Öppet ⋅ Stänger 22:30,Öppet ⋅ Stänger 22:30,"{'fredag': '17–22:30', 'lördag': '17–23', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–21', 'onsdag': '17–21', 'torsdag': '17–21'}",+46 31 24 40 50,https://www.chateaubeirut.se/index.php,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipMZ29jEL_rwVA3RK6jdiRfqlPazw0AyEyIGlL1p=w163-h92-k-no,$$,,,,
11,13,Alberts Pizzeria,ChIJ-XRlx9KMT0YROvVSvmVXg9U,0x464f8cd2c76574f9:0xd5835765be52f53a,15385236846524167482,https://serpapi.com/search.json?data_id=0x464f8cd2c76574f9%3A0xd5835765be52f53a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8cd2c76574f9%3A0xd5835765be52f53a&engine=google_maps_photos&hl=sv,"{'latitude': 57.683895899999996, 'longitude': 11.909451899999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8cd2c76574f9%3A0xd5835765be52f53a%218m2%213d57.683895899999996%214d11.909451899999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.5,57.0,True,Pizzeria,"Orustgatan 10, 414 74 Göteborg, Sverige",Öppet ⋅ Stänger 22,Öppet ⋅ Stänger 22,"{'fredag': '11:45–22', 'lördag': '12–22', 'söndag': '12–22', 'måndag': '11–22', 'tisdag': '11–22', 'onsdag': '11–22', 'torsdag': '11–22'}",+46 31 42 62 37,https://www.foodora.se/restaurant/v5xp/goteborg-pizzeria-albert,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipOHOQw2wTNIKTipElmGr1i4G_AYzuuCPyHGtfv1=w80-h106-k-no,,,,,
12,14,Diket,ChIJudOtbDXzT0YRuEAT4YRe6Es,0x464ff3356cadd3b9:0x4be85e84e11340b8,5469725672246296760,https://serpapi.com/search.json?data_id=0x464ff3356cadd3b9%3A0x4be85e84e11340b8&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3356cadd3b9%3A0x4be85e84e11340b8&engine=google_maps_photos&hl=sv,"{'latitude': 57.6979975, 'longitude': 11.930175}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3356cadd3b9%3A0x4be85e84e11340b8%218m2%213d57.6979975%214d11.930175&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.5,105.0,,Restaurang,"Karl Johansgatan 11, 414 59 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '17–00', 'lördag': 'Stängt', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23', 'torsdag': '17–23'}",+46 31 13 13 23,http://diket.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNqWXSy38lQnsze1JZq2jJ9lyMVxEyl7sIVEGV6=w138-h92-k-no,,,,,
13,15,Restaurang Sjöporten,ChIJV5NGkrSMT0YRQQ6YYWwkRts,0x464f8cb492469357:0xdb46246c61980e41,15800356390588386881,https://serpapi.com/search.json?data_id=0x464f8cb492469357%3A0xdb46246c61980e41&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8cb492469357%3A0xdb46246c61980e41&engine=google_maps_photos&hl=sv,"{'latitude': 57.7009973, 'longitude': 11.9153021}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8cb492469357%3A0xdb46246c61980e41%218m2%213d57.7009973%214d11.9153021&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.8,610.0,,Restaurang,"Sjöporten 5, 417 64 Göteborg, Sverige",Öppet ⋅ Stänger 00:30,Öppet ⋅ Stänger 00:30,"{'fredag': '09–00:30', 'lördag': '10:30–00', 'söndag': '11–22:30', 'måndag': '09:30–23:30', 'tisdag': '09:30–23:30', 'onsdag': '09:30–00', 'torsdag': '09:30–00'}",+46 31 65 88 10,https://sjoporten5.se/,"{'servering': True, 'avhämtning': True}",https://lh5.googleusercontent.com/p/AF1QipPoAepALZhyGWuZGLW8Ez8Rvvxw8W4yznLCfvYv=w122-h92-k-no,$$,,,,
14,16,BANG.,ChIJ___rxEfzT0YR_MSIduaRbwc,0x464ff347c4ebffff:0x76f91e67688c4fc,535807299697558780,https://serpapi.com/search.json?data_id=0x464ff347c4ebffff%3A0x76f91e67688c4fc&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff347c4ebffff%3A0x76f91e67688c4fc&engine=google_maps_photos&hl=sv,"{'latitude': 57.6998342, 'longitude': 11.9392335}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff347c4ebffff%3A0x76f91e67688c4fc%218m2%213d57.6998342%214d11.9392335&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.5,156.0,,Restaurang,"Oskarsgatan 9, 414 63 Göteborg, Sverige",Öppet ⋅ Stänger 02,Öppet ⋅ Stänger 02,"{'fredag': '17–02', 'lördag': '17–02', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '18–01', 'onsdag': '18–01', 'torsdag': '18–01'}",+46 76 250 90 35,http://www.bangmatbar.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipNOOsLs5HNMbGEh4iBkCPARi3jC8Ey1RSFgMv8A=w122-h92-k-no,$$,,,,
15,17,Pasta Haus,ChIJGeUk8D_zT0YRj6GBdP7ldt4,0x464ff33ff024e519:0xde76e5fe7481a18f,16030252804710965647,https://serpapi.com/search.json?data_id=0x464ff33ff024e519%3A0xde76e5fe7481a18f&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff33ff024e519%3A0xde76e5fe7481a18f&engine=google_maps_photos&hl=sv,"{'latitude': 57.6927266, 'longitude': 11.9492459}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff33ff024e519%3A0xde76e5fe7481a18f%218m2%213d57.6927266%214d11.9492459&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.9,838.0,,Italiensk restaurang,"Nordenskiöldsgatan 25, 413 09 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '11–23', 'lördag': '12–23', 'söndag': '12–22', 'måndag': '11–22', 'tisdag': '11–22', 'onsdag': '11–22', 'torsdag': '11–22'}",+46 31 24 27 11,https://pastahaus.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipPmvdZqr__UCV6S36QYGEd9CZCJpt2L5w7T7bK5=w80-h106-k-no,$$,"Mysig italiensk restaurang. Informell restaurang med traditionella italienska rätter, pizza och trerättersmenyer i inbjudande miljö.",,,
16,18,Gaubi Eriksberg,ChIJJwCY3PONT0YR6iuVUGptA54,0x464f8df3dc980027:0x9e036d6a50952bea,11386064586308660202,https://serpapi.com/search.json?data_id=0x464f8df3dc980027%3A0x9e036d6a50952bea&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464f8df3dc980027%3A0x9e036d6a50952bea&engine=google_maps_photos&hl=sv,"{'latitude': 57.698687, 'longitude': 11.9097397}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464f8df3dc980027%3A0x9e036d6a50952bea%218m2%213d57.698687%214d11.9097397&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,154.0,,Restaurang,"Ostindiefararen 43, 417 65 Göteborg, Sverige",Öppet ⋅ Stänger 22,Öppet ⋅ Stänger 22,"{'fredag': '11–22', 'lördag': '12–22', 'söndag': '12–21', 'måndag': '16–21', 'tisdag': '16–21', 'onsdag': '16–21', 'torsdag': '16–21'}",+46 31 65 01 00,http://gaubi.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNDeCWU6VoT5N1gVh-6Kr7i2tJtaC4F7554IIAl=w80-h106-k-no,$$,,,,
17,19,Lilla Tavernan,ChIJRf9MXBXzT0YR1OroPXLPbzA,0x464ff3155c4cff45:0x306fcf723de8ead4,3490236325807319764,https://serpapi.com/search.json?data_id=0x464ff3155c4cff45%3A0x306fcf723de8ead4&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3155c4cff45%3A0x306fcf723de8ead4&engine=google_maps_photos&hl=sv,"{'latitude': 57.6920624, 'longitude': 11.9509774}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3155c4cff45%3A0x306fcf723de8ead4%218m2%213d57.6920624%214d11.9509774&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.2,680.0,,Grekisk restaurang,"Olivedalsgatan 17, 413 10 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '16:30–00', 'lördag': '13–00', 'söndag': '13–22', 'måndag': '16–23', 'tisdag': '16–23', 'onsdag': '16–23', 'torsdag': '16–23'}",+46 31 12 88 05,http://lillatavernan.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipOUd5VaEEOaM3fuiRXtdck7sxNEGl1fGZJvk0Ft=w122-h92-k-no,$$,,,,
18,20,Björk och Bambu,ChIJBZkS3aDzT0YRx8sAUIJjQSY,0x464ff3a0dd129905:0x264163825000cbc7,2756593858266581959,https://serpapi.com/search.json?data_id=0x464ff3a0dd129905%3A0x264163825000cbc7&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3a0dd129905%3A0x264163825000cbc7&engine=google_maps_photos&hl=sv,"{'latitude': 57.6924959, 'longitude': 11.9485599}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3a0dd129905%3A0x264163825000cbc7%218m2%213d57.6924959%214d11.9485599&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.6,166.0,,Restaurang,"Vegagatan 50, 413 11 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23', 'torsdag': '17–23'}",+46 31 13 80 50,http://www.bjorkochbambu.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOevSdVcvUBHNT57YDsXgvBp0NoxtvtZmkfSai8=w163-h92-k-no,,,,,
19,21,Pasha Grill,ChIJ0wYzFBXzT0YR79d-7ITpiVE,0x464ff315143306d3:0x5189e984ec7ed7ef,5875483945994213359,https://serpapi.com/search.json?data_id=0x464ff315143306d3%3A0x5189e984ec7ed7ef&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff315143306d3%3A0x5189e984ec7ed7ef&engine=google_maps_photos&hl=sv,"{'latitude': 57.6915111, 'longitude': 11.9527139}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff315143306d3%3A0x5189e984ec7ed7ef%218m2%213d57.6915111%214d11.9527139&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.4,888.0,,Turkisk restaurang,"Linnégatan 74, 413 08 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'fredag': '16–23', 'lördag': '13–23', 'söndag': '13–22', 'måndag': 'Stängt', 'tisdag': '16–22', 'onsdag': '16–22', 'torsdag': '16–22'}",+46 31 13 93 94,http://pashagrill.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipPqNtZvvnOSqCWYDyptDnuF14Iries2TMjUkbF0=w122-h92-k-no,$$,,,,
0,2,OGBG Bar & Restaurang,ChIJ68j4lmfzT0YRFCokz3NgpNo,0x464ff36796f8c8eb:0xdaa46073cf242a14,15754823446961596948,https://serpapi.com/search.json?data_id=0x464ff36796f8c8eb%3A0xdaa46073cf242a14&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36796f8c8eb%3A0xdaa46073cf242a14&engine=google_maps_photos&hl=sv,"{'latitude': 57.705892, 'longitude': 11.9585109}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36796f8c8eb%3A0xdaa46073cf242a14%218m2%213d57.705892%214d11.9585109&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.0,630.0,,Asiatisk restaurang,"Skeppsbroplatsen 1, 411 21 Göteborg, Sverige",Öppet ⋅ Stänger 01,Öppet ⋅ Stänger 01,"{'fredag': '11:30–13:30', 'lördag': '16–01', 'söndag': 'Stängt', 'måndag': '11:30–13:30', 'tisdag': '11:30–13:30', 'onsdag': '11:30–13:30', 'torsdag': '11:30–13:30'}",+46 31 752 28 10,http://www.ogbg.se/,{'servering': True},https://lh5.googleusercontent.com/p/AF1QipObxP2XFXY0X9cWf_JdsQ0w-X3dTPps1Vx51oNQ=w122-h92-k-no,$$,,,,
